"q0002","q0003","q0004","q0005","Apego_ansiedade","Apego_evitativo","Adaptacao","Autonomia","Afetivo"
1,30,8,25,3.6,4.0,2.8461538461538463,2.875,1.9047619047619047
1,58,6,19,4.4,1.8,3.0,3.0,2.8095238095238093
2,28,7,19,3.2,3.0,2.6923076923076925,2.75,1.9047619047619047
1,23,7,19,3.4,2.4,2.0,2.0,1.7142857142857142
1,24,6,19,1.2,1.4,3.0,3.0,2.9047619047619047
1,26,5,19,7.0,3.8,1.6923076923076923,2.375,1.2857142857142858
1,27,6,25,6.6,2.2,2.8461538461538463,2.75,2.9047619047619047
2,24,7,19,4.4,1.6,2.5384615384615383,2.375,1.9523809523809523
1,21,5,19,4.6,2.8,1.3076923076923077,1.875,1.1904761904761905
1,18,5,19,6.8,1.8,2.076923076923077,2.625,2.7142857142857144
1,19,5,19,5.0,1.8,2.3846153846153846,2.75,1.8571428571428572
1,21,5,19,5.0,1.2,2.4615384615384617,2.5,2.0952380952380953
1,28,7,19,3.0,1.0,1.7692307692307692,2.875,1.4761904761904763
1,27,7,19,4.6,3.0,2.769230769230769,2.875,2.7142857142857144
1,27,7,19,1.2,1.6,1.8461538461538463,2.0,2.0476190476190474
1,27,7,19,5.6,2.0,2.076923076923077,2.5,1.7142857142857142
1,20,5,19,6.2,2.4,2.923076923076923,3.0,2.5238095238095237
1,21,5,19,4.8,3.8,2.8461538461538463,3.0,2.761904761904762
1,27,6,19,5.2,1.6,2.6153846153846154,2.875,2.5714285714285716
1,46,6,19,4.8,1.2,2.4615384615384617,2.125,2.3333333333333335
2,25,6,19,1.8,2.2,2.0,2.0,1.5238095238095237
1,22,5,19,7.0,2.4,2.076923076923077,1.875,2.0
1,55,8,13,1.2,1.0,2.4615384615384617,3.0,2.619047619047619
1,22,5,19,4.8,3.6,1.9230769230769231,3.0,1.6666666666666667
2,24,4,19,1.4,1.6,2.769230769230769,2.75,2.5238095238095237
2,20,5,19,3.2,3.2,1.9230769230769231,2.375,1.9047619047619047
1,18,4,19,2.4,2.2,2.6923076923076925,2.75,2.7142857142857144
1,21,5,19,2.4,1.0,1.8461538461538463,2.25,1.7619047619047619
1,21,5,19,1.0,2.2,2.4615384615384617,2.75,2.4761904761904763
1,33,8,19,5.0,2.0,2.6923076923076925,3.0,2.619047619047619
2,23,5,19,2.6,2.8,2.6923076923076925,2.875,2.3333333333333335
2,27,8,19,5.8,1.0,2.230769230769231,2.75,1.7142857142857142
1,22,5,19,2.2,1.4,2.4615384615384617,3.0,1.619047619047619
2,22,5,19,2.8,1.0,2.0,2.75,2.0
1,21,5,19,4.8,2.6,2.6153846153846154,2.25,2.6666666666666665
2,20,5,19,4.6,1.0,3.0,3.0,2.4761904761904763
1,21,5,19,5.8,1.6,1.8461538461538463,2.625,1.9523809523809523
2,25,5,19,2.8,2.8,2.769230769230769,3.0,2.5238095238095237
2,25,5,19,2.4,1.0,2.1538461538461537,2.875,1.9047619047619047
2,18,5,19,4.2,2.6,2.3076923076923075,1.875,1.4285714285714286
2,24,5,19,2.8,4.8,2.5384615384615383,2.5,1.9047619047619047
1,24,5,19,2.0,2.4,2.6923076923076925,2.75,2.3333333333333335
2,21,5,19,3.8,3.0,2.4615384615384617,2.25,2.2857142857142856
1,19,5,19,3.8,1.0,2.1538461538461537,2.625,2.142857142857143
1,19,5,19,3.2,1.2,1.6923076923076923,2.75,1.7619047619047619
1,23,6,19,5.4,1.4,2.5384615384615383,3.0,2.8095238095238093
2,21,5,19,3.4,1.2,2.3846153846153846,3.0,1.7619047619047619
1,22,5,19,3.6,2.6,2.8461538461538463,3.0,2.5714285714285716
1,20,5,19,3.0,3.4,2.8461538461538463,2.875,2.4761904761904763
1,20,5,19,5.8,2.2,2.0,1.75,2.0476190476190474
2,28,5,15,3.2,3.8,2.5384615384615383,2.875,1.9047619047619047
1,30,4,19,3.2,4.0,1.7692307692307692,2.875,2.0476190476190474
1,42,5,20,3.4,1.8,1.6923076923076923,1.75,1.2380952380952381
1,18,4,13,1.0,4.0,3.0,2.625,2.380952380952381
1,21,4,25,4.0,1.6,1.3076923076923077,1.5,1.0952380952380953
1,24,5,19,4.4,3.0,2.6923076923076925,2.875,2.6666666666666665
1,34,4,25,5.8,2.0,1.7692307692307692,2.25,1.8095238095238095
1,19,5,25,4.4,1.2,2.6923076923076925,1.875,2.5714285714285716
1,18,4,25,1.4,2.4,2.8461538461538463,2.875,2.4761904761904763
1,19,4,17,3.0,2.4,1.6923076923076923,2.5,1.5714285714285714
1,20,5,25,4.8,1.8,1.3846153846153846,2.25,1.9523809523809523
1,18,3,10,5.8,1.0,1.8461538461538463,1.125,1.5714285714285714
1,37,6,25,4.0,3.4,2.230769230769231,2.875,2.238095238095238
1,21,5,25,4.4,2.2,2.769230769230769,2.625,2.619047619047619
1,21,5,13,4.8,1.6,1.9230769230769231,2.625,1.7619047619047619
1,26,5,25,6.6,2.8,2.3846153846153846,2.625,2.142857142857143
1,27,6,25,4.0,4.0,1.6153846153846154,2.25,1.4761904761904763
1,19,4,21,6.0,2.8,1.8461538461538463,2.875,1.380952380952381
1,23,6,5,5.0,4.0,2.230769230769231,2.5,1.5238095238095237
1,18,3,17,4.2,2.4,1.3846153846153846,2.5,1.2857142857142858
1,22,5,16,6.4,3.0,1.6153846153846154,1.375,1.9047619047619047
1,26,5,25,3.2,1.8,2.3076923076923075,2.0,1.8095238095238095
1,25,7,19,4.2,1.0,2.5384615384615383,2.875,2.8095238095238093
1,18,4,17,4.0,4.0,1.3846153846153846,1.375,1.8095238095238095
1,21,5,25,4.8,4.2,1.6923076923076923,1.5,1.4285714285714286
